review,sentiment,processed_review,sentiment_score,predicted_sentiment
"Phil the Alien is one of those quirky films where the humour is based around the oddness of everything rather than actual punchlines.<br /><br />At first it was very odd and pretty funny but as the movie progressed I didn't find the jokes or oddness funny anymore.<br /><br />Its a low budget film (thats never a problem in itself), there were some pretty interesting characters, but eventually I just lost interest.<br /><br />I imagine this film would appeal to a stoner who is currently partaking.<br /><br />For something similar but better try ""Brother from another planet""",negative,"phil the alien is one of those quirki film where the humour is base around the odd of everyth rather than actual punchlines. < br / > < br / > at first it wa veri odd and pretti funni but as the movi progress i did n't find the joke or odd funni anymore. < br / > < br / > it a low budget film ( that never a problem in itself ) , there were some pretti interest charact , but eventu i just lost interest. < br / > < br / > i imagin thi film would appeal to a stoner who is current partaking. < br / > < br / > for someth similar but better tri `` brother from anoth planet ''",0.8521,positive
"I saw this movie when I was about 12 when it came out. I recall the scariest scene was the big bird eating men dangling helplessly from parachutes right out of the air. The horror. The horror.<br /><br />As a young kid going to these cheesy B films on Saturday afternoons, I still was tired of the formula for these monster type movies that usually included the hero, a beautiful woman who might be the daughter of a professor and a happy resolution when the monster died in the end. I didn't care much for the romantic angle as a 12 year old and the predictable plots. I love them now for the unintentional humor.<br /><br />But, about a year or so later, I saw Psycho when it came out and I loved that the star, Janet Leigh, was bumped off early in the film. I sat up and took notice at that point. Since screenwriters are making up the story, make it up to be as scary as possible and not from a well-worn formula. There are no rules.",negative,"i saw thi movi when i wa about 12 when it came out . i recal the scariest scene wa the big bird eat men dangl helplessli from parachut right out of the air . the horror . the horror. < br / > < br / > as a young kid go to these cheesi b film on saturday afternoon , i still wa tire of the formula for these monster type movi that usual includ the hero , a beauti woman who might be the daughter of a professor and a happi resolut when the monster die in the end . i did n't care much for the romant angl as a 12 year old and the predict plot . i love them now for the unintent humor. < br / > < br / > but , about a year or so later , i saw psycho when it came out and i love that the star , janet leigh , wa bump off earli in the film . i sat up and took notic at that point . sinc screenwrit are make up the stori , make it up to be as scari as possibl and not from a well-worn formula . there are no rule .",0.3582,positive
"So im not a big fan of Boll's work but then again not many are. I enjoyed his movie Postal (maybe im the only one). Boll apparently bought the rights to use Far Cry long ago even before the game itself was even finsished. <br /><br />People who have enjoyed killing mercs and infiltrating secret research labs located on a tropical island should be warned, that this is not Far Cry... This is something Mr Boll have schemed together along with his legion of schmucks.. Feeling loneley on the set Mr Boll invites three of his countrymen to play with. These players go by the names of Til Schweiger, Udo Kier and Ralf Moeller.<br /><br />Three names that actually have made them selfs pretty big in the movie biz. So the tale goes like this, Jack Carver played by Til Schweiger (yes Carver is German all hail the bratwurst eating dudes!!) However I find that Tils acting in this movie is pretty badass.. People have complained about how he's not really staying true to the whole Carver agenda but we only saw carver in a first person perspective so we don't really know what he looked like when he was kicking a**.. <br /><br />However, the storyline in this film is beyond demented. We see the evil mad scientist Dr. Krieger played by Udo Kier, making Genetically-Mutated-soldiers or GMS as they are called. Performing his top-secret research on an island that reminds me of ""SPOILER"" Vancouver for some reason. Thats right no palm trees here. Instead we got some nice rich lumberjack-woods. We haven't even gone FAR before I started to CRY (mehehe) I cannot go on any more.. If you wanna stay true to Bolls shenanigans then go and see this movie you will not be disappointed it delivers the true Boll experience, meaning most of it will suck.<br /><br />There are some things worth mentioning that would imply that Boll did a good work on some areas of the film such as some nice boat and fighting scenes. Until the whole cromed/albino GMS squad enters the scene and everything just makes me laugh.. The movie Far Cry reeks of scheisse (that's poop for you simpletons) from a fa,r if you wanna take a wiff go ahead.. BTW Carver gets a very annoying sidekick who makes you wanna shoot him the first three minutes he's on screen.",negative,"so im not a big fan of boll 's work but then again not mani are . i enjoy hi movi postal ( mayb im the onli one ) . boll appar bought the right to use far cri long ago even befor the game itself wa even finsish . < br / > < br / > peopl who have enjoy kill merc and infiltr secret research lab locat on a tropic island should be warn , that thi is not far cri ... thi is someth mr boll have scheme togeth along with hi legion of schmuck .. feel loneley on the set mr boll invit three of hi countrymen to play with . these player go by the name of til schweiger , udo kier and ralf moeller. < br / > < br / > three name that actual have made them self pretti big in the movi biz . so the tale goe like thi , jack carver play by til schweiger ( ye carver is german all hail the bratwurst eat dude ! ! ) howev i find that til act in thi movi is pretti badass .. peopl have complain about how he 's not realli stay true to the whole carver agenda but we onli saw carver in a first person perspect so we do n't realli know what he look like when he wa kick a * * .. < br / > < br / > howev , the storylin in thi film is beyond dement . we see the evil mad scientist dr. krieger play by udo kier , make genetically-mutated-soldi or gm as they are call . perform hi top-secret research on an island that remind me of `` spoiler '' vancouv for some reason . that right no palm tree here . instead we got some nice rich lumberjack-wood . we have n't even gone far befor i start to cri ( meheh ) i can not go on ani more .. if you wan na stay true to boll shenanigan then go and see thi movi you will not be disappoint it deliv the true boll experi , mean most of it will suck. < br / > < br / > there are some thing worth mention that would impli that boll did a good work on some area of the film such as some nice boat and fight scene . until the whole cromed/albino gm squad enter the scene and everyth just make me laugh .. the movi far cri reek of scheiss ( that 's poop for you simpleton ) from a fa , r if you wan na take a wiff go ahead .. btw carver get a veri annoy sidekick who make you wan na shoot him the first three minut he 's on screen .",-0.967,negative
"The cast played Shakespeare.<br /><br />Shakespeare lost.<br /><br />I appreciate that this is trying to bring Shakespeare to the masses, but why ruin something so good.<br /><br />Is it because 'The Scottish Play' is my favorite Shakespeare? I do not know. What I do know is that a certain Rev Bowdler (hence bowdlerization) tried to do something similar in the Victorian era.<br /><br />In other words, you cannot improve perfection.<br /><br />I have no more to write but as I have to write at least ten lines of text (and English composition was never my forte I will just have to keep going and say that this movie, as the saying goes, just does not cut it.",negative,"the cast play shakespeare. < br / > < br / > shakespear lost. < br / > < br / > i appreci that thi is tri to bring shakespear to the mass , but whi ruin someth so good. < br / > < br / > is it becaus 'the scottish play ' is my favorit shakespear ? i do not know . what i do know is that a certain rev bowdler ( henc bowdler ) tri to do someth similar in the victorian era. < br / > < br / > in other word , you can not improv perfection. < br / > < br / > i have no more to write but as i have to write at least ten line of text ( and english composit wa never my fort i will just have to keep go and say that thi movi , as the say goe , just doe not cut it .",-0.1745,negative
This a fantastic movie of three prisoners who become famous. One of the actors is george clooney and I'm not a fan but this roll is not bad. Another good thing about the movie is the soundtrack (The man of constant sorrow). I recommand this movie to everybody. Greetings Bart,positive,thi a fantast movi of three prison who becom famou . one of the actor is georg clooney and i 'm not a fan but thi roll is not bad . anoth good thing about the movi is the soundtrack ( the man of constant sorrow ) . i recommand thi movi to everybodi . greet bart,-0.5596,negative
"Kind of drawn in by the erotic scenes, only to realize this was one of the most amateurish and unbelievable bits of film I've ever seen. Sort of like a high school film project. What was Rosanna Arquette thinking?? And what was with all those stock characters in that bizarre supposed Midwest town? Pretty hard to get involved with this one. No lessons to be learned from it, no brilliant insights, just stilted and quite ridiculous (but lots of skin, if that intrigues you) videotaped nonsense....What was with the bisexual relationship, out of nowhere, after all the heterosexual encounters. And what was with that absurd dance, with everybody playing their stereotyped roles? Give this one a pass, it's like a million other miles of bad, wasted film, money that could have been spent on starving children or Aids in Africa.....",negative,"kind of drawn in by the erot scene , onli to realiz thi wa one of the most amateurish and unbeliev bit of film i 've ever seen . sort of like a high school film project . what wa rosanna arquett think ? ? and what wa with all those stock charact in that bizarr suppos midwest town ? pretti hard to get involv with thi one . no lesson to be learn from it , no brilliant insight , just stilt and quit ridicul ( but lot of skin , if that intrigu you ) videotap nonsens .... what wa with the bisexu relationship , out of nowher , after all the heterosexu encount . and what wa with that absurd danc , with everybodi play their stereotyp role ? give thi one a pass , it 's like a million other mile of bad , wast film , money that could have been spent on starv children or aid in africa .....",0.4067,positive
"Some films just simply should not be remade. This is one of them. In and of itself it is not a bad film. But it fails to capture the flavor and the terror of the 1963 film of the same title. Liam Neeson was excellent as he always is, and most of the cast holds up, with the exception of Owen Wilson, who just did not bring the right feel to the character of Luke. But the major fault with this version is that it strayed too far from the Shirley Jackson story in it's attempts to be grandiose and lost some of the thrill of the earlier film in a trade off for snazzier special effects. Again I will say that in and of itself it is not a bad film. But you will enjoy the friction of terror in the older version much more.",positive,"some film just simpli should not be remad . thi is one of them . in and of itself it is not a bad film . but it fail to captur the flavor and the terror of the 1963 film of the same titl . liam neeson wa excel as he alway is , and most of the cast hold up , with the except of owen wilson , who just did not bring the right feel to the charact of luke . but the major fault with thi version is that it stray too far from the shirley jackson stori in it 's attempt to be grandios and lost some of the thrill of the earlier film in a trade off for snazzier special effect . again i will say that in and of itself it is not a bad film . but you will enjoy the friction of terror in the older version much more .",-0.1655,negative
"This movie made it into one of my top 10 most awful movies. Horrible. <br /><br />There wasn't a continuous minute where there wasn't a fight with one monster or another. There was no chance for any character development, they were too busy running from one sword fight to another. I had no emotional attachment (except to the big bad machine that wanted to destroy them) <br /><br />Scenes were blatantly stolen from other movies, LOTR, Star Wars and Matrix. <br /><br />Examples<br /><br />>The ghost scene at the end was stolen from the final scene of the old Star Wars with Yoda, Obee One and Vader. <br /><br />>The spider machine in the beginning was exactly like Frodo being attacked by the spider in Return of the Kings. (Elijah Wood is the victim in both films) and wait......it hypnotizes (stings) its victim and wraps them up.....uh hello????<br /><br />>And the whole machine vs. humans theme WAS the Matrix..or Terminator.....<br /><br />There are more examples but why waste the time? And will someone tell me what was with the Nazi's?!?! Nazi's???? <br /><br />There was a juvenile story line rushed to a juvenile conclusion. The movie could not decide if it was a children's movie or an adult movie and wasn't much of either. <br /><br />Just awful. A real disappointment to say the least. Save your money.",negative,"thi movi made it into one of my top 10 most aw movi . horribl . < br / > < br / > there wa n't a continu minut where there wa n't a fight with one monster or anoth . there wa no chanc for ani charact develop , they were too busi run from one sword fight to anoth . i had no emot attach ( except to the big bad machin that want to destroy them ) < br / > < br / > scene were blatantli stolen from other movi , lotr , star war and matrix . < br / > < br / > exampl < br / > < br / > > the ghost scene at the end wa stolen from the final scene of the old star war with yoda , obe one and vader . < br / > < br / > > the spider machin in the begin wa exactli like frodo be attack by the spider in return of the king . ( elijah wood is the victim in both film ) and wait ...... it hypnot ( sting ) it victim and wrap them up ..... uh hello ? ? ? ? < br / > < br / > > and the whole machin vs. human theme wa the matrix .. or termin ..... < br / > < br / > there are more exampl but whi wast the time ? and will someon tell me what wa with the nazi 's ? ! ? ! nazi 's ? ? ? ? < br / > < br / > there wa a juvenil stori line rush to a juvenil conclus . the movi could not decid if it wa a children 's movi or an adult movi and wa n't much of either . < br / > < br / > just aw . a real disappoint to say the least . save your money .",-0.9707,negative
"I remember this film,it was the first film i had watched at the cinema the picture was dark in places i was very nervous it was back in 74/75 my Dad took me my brother & sister to Newbury cinema in Newbury Berkshire England. I recall the tigers and the lots of snow in the film also the appearance of Grizzly Adams actor Dan Haggery i think one of the tigers gets shot and dies. If anyone knows where to find this on DVD etc please let me know.The cinema now has been turned in a fitness club which is a very big shame as the nearest cinema now is 20 miles away, would love to hear from others who have seen this film or any other like it.",positive,"i rememb thi film , it wa the first film i had watch at the cinema the pictur wa dark in place i wa veri nervou it wa back in 74/75 my dad took me my brother & sister to newburi cinema in newburi berkshir england . i recal the tiger and the lot of snow in the film also the appear of grizzli adam actor dan haggeri i think one of the tiger get shot and die . if anyon know where to find thi on dvd etc pleas let me know.th cinema now ha been turn in a fit club which is a veri big shame as the nearest cinema now is 20 mile away , would love to hear from other who have seen thi film or ani other like it .",0.5574,positive
"An awful film! It must have been up against some real stinkers to be nominated for the Golden Globe. They've taken the story of the first famous female Renaissance painter and mangled it beyond recognition. My complaint is not that they've taken liberties with the facts; if the story were good, that would perfectly fine. But it's simply bizarre -- by all accounts the true story of this artist would have made for a far better film, so why did they come up with this dishwater-dull script? I suppose there weren't enough naked people in the factual version. It's hurriedly capped off in the end with a summary of the artist's life -- we could have saved ourselves a couple of hours if they'd favored the rest of the film with same brevity.",negative,"an aw film ! it must have been up against some real stinker to be nomin for the golden globe . they 've taken the stori of the first famou femal renaiss painter and mangl it beyond recognit . my complaint is not that they 've taken liberti with the fact ; if the stori were good , that would perfectli fine . but it 's simpli bizarr -- by all account the true stori of thi artist would have made for a far better film , so whi did they come up with thi dishwater-dul script ? i suppos there were n't enough nake peopl in the factual version . it 's hurriedli cap off in the end with a summari of the artist 's life -- we could have save ourselv a coupl of hour if they 'd favor the rest of the film with same breviti .",0.9493,positive
"After the success of Die Hard and it's sequels it's no surprise really that in the 1990s, a glut of 'Die Hard on a .....' movies cashed in on the wrong guy, wrong place, wrong time concept. That is what they did with Cliffhanger, Die Hard on a mountain just in time to rescue Sly 'Stop or My Mom Will Shoot' Stallone's career.<br /><br />Cliffhanger is one big nit-pickers dream, especially to those who are expert at mountain climbing, base-jumping, aviation, facial expressions, acting skills. All in all it's full of excuses to dismiss the film as one overblown pile of junk. Stallone even managed to get out-acted by a horse! However, if you an forget all the nonsense, it's actually a very lovable and undeniably entertaining romp that delivers as plenty of thrills, and unintentionally, plenty of laughs.<br /><br />You've got to love John Lithgows sneery evilness, his tick every box band of baddies, and best of all, the permanently harassed and hapless 'turncoat' agent, Rex Linn as Travers.<br /><br />He may of been Henry in 'Portrait of a Serial Killer' but Michael Rooker is noteworthy for a cringe-worthy performance as Hal, he insists on constantly shrieking in painful disbelief at his captors 'that man never hurt anybody' And whilst he surely can't be, it really does look like Ralph Waite's Frank character is grinning as the girl plummets to her death.<br /><br />Mention too must go to former 'London's Burning' actor Craig Fairbrass as the Brit bad guy, who comes a cropper whilst using Hal as a Human Football, yes, you can't help enjoy that bit, Hal needed a good kicking.<br /><br />So forget your better judgement, who cares if 'that could never happen', lower your acting expectations, turn up the volume and enjoy! And if you're looking for Qaulen, he's the one wearing the helicopter.",positive,"after the success of die hard and it 's sequel it 's no surpris realli that in the 1990 , a glut of 'die hard on a ..... ' movi cash in on the wrong guy , wrong place , wrong time concept . that is what they did with cliffhang , die hard on a mountain just in time to rescu sli 'stop or my mom will shoot ' stallon 's career. < br / > < br / > cliffhang is one big nit-pick dream , especi to those who are expert at mountain climb , base-jump , aviat , facial express , act skill . all in all it 's full of excus to dismiss the film as one overblown pile of junk . stallon even manag to get out-act by a hors ! howev , if you an forget all the nonsens , it 's actual a veri lovabl and undeni entertain romp that deliv as plenti of thrill , and unintent , plenti of laughs. < br / > < br / > you 've got to love john lithgow sneeri evil , hi tick everi box band of baddi , and best of all , the perman harass and hapless 'turncoat ' agent , rex linn as travers. < br / > < br / > he may of been henri in 'portrait of a serial killer ' but michael rooker is noteworthi for a cringe-worthi perform as hal , he insist on constantli shriek in pain disbelief at hi captor 'that man never hurt anybodi ' and whilst he sure ca n't be , it realli doe look like ralph wait 's frank charact is grin as the girl plummet to her death. < br / > < br / > mention too must go to former 'london 's burn ' actor craig fairbrass as the brit bad guy , who come a cropper whilst use hal as a human footbal , ye , you ca n't help enjoy that bit , hal need a good kicking. < br / > < br / > so forget your better judgement , who care if 'that could never happen ' , lower your act expect , turn up the volum and enjoy ! and if you 're look for qaulen , he 's the one wear the helicopt .",-0.8901,negative
